2015-05-18 15:28:40,368 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: ar.edu.unq.desapp.grupob:desapp-groupb-backend:1.0-SNAPSHOT @ /home/esteban/DesAp-201501-GrupoB/desapp-groupb-backend/pom.xml.
2015-05-18 15:28:48,176 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 15:28:48,200 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2015-05-18 15:28:48,234 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 15:28:48,235 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/esteban/DesAp-201501-GrupoB/desapp-groupb-backend/src/test/resources
2015-05-18 15:29:02,156 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 15:29:02,190 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2015-05-18 15:29:02,196 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 15:29:02,197 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/esteban/DesAp-201501-GrupoB/desapp-groupb-backend/src/test/resources
2015-05-18 15:31:01,735 [Worker-11] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 1 sec
2015-05-18 15:33:53,523 [Worker-11] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2015-05-18 15:33:53,709 [Worker-11] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2015-05-18 15:48:06,455 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 15:48:06,556 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-05-18 15:48:06,560 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 15:48:06,561 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/esteban/DesAp-201501-GrupoB/desapp-groupb-backend/src/test/resources
2015-05-18 15:48:12,673 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 15:48:12,674 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-05-18 15:48:12,679 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 15:48:12,679 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/esteban/DesAp-201501-GrupoB/desapp-groupb-backend/src/test/resources
2015-05-18 15:48:24,733 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 15:48:24,738 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-05-18 15:48:24,747 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 15:48:24,750 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/esteban/DesAp-201501-GrupoB/desapp-groupb-backend/src/test/resources
2015-05-18 15:48:58,813 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 15:48:58,815 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-05-18 15:48:58,820 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 15:48:58,821 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/esteban/DesAp-201501-GrupoB/desapp-groupb-backend/src/test/resources
2015-05-18 15:53:33,280 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 15:53:33,282 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-05-18 15:53:33,295 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 15:53:33,295 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/esteban/DesAp-201501-GrupoB/desapp-groupb-backend/src/test/resources
2015-05-18 16:01:51,251 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 16:01:51,252 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
